id,status,sub_status,title,price,available_quantity,seller_custom_field,permalink,date_created,last_updated
"MLB4369865595","closed","","Moldura Inferior Coluna Direção Chevrolet Celta 2013 A 2016","87.22","0",,"https://produto.mercadolivre.com.br/MLB-4369865595-moldura-inferior-coluna-direco-chevrolet-celta-2013-a-2016-_JM","2025-12-17T05:38:04.867Z","2026-01-08T20:29:08.695Z"
"MLB6039560880","closed","","Pescador Óleo Honda Fit 1.5 2015 2016 2017","117.6","1",,"https://produto.mercadolivre.com.br/MLB-6039560880-pescador-oleo-honda-fit-15-2015-2016-2017-_JM","2025-12-11T17:36:52.342Z","2026-01-09T13:57:59.710Z"
"MLB4369761041","closed","","Polia Comando Admissão Ford Ka 2017 1.0","685.02","1",,"https://produto.mercadolivre.com.br/MLB-4369761041-polia-comando-admisso-ford-ka-2017-10-_JM","2025-12-17T04:10:53.773Z","2026-02-12T15:42:04.006Z"
"MLB6038580788","closed","","Roda Volkswagen Jetta 2008 Aro 17 ","343","1",,"https://produto.mercadolivre.com.br/MLB-6038580788-roda-volkswagen-jetta-2008-aro-17-_JM","2025-12-11T14:36:11.112Z","2026-02-12T15:42:48.807Z"
"MLB4409283021","closed","","Moldura Tampa Traseira Volvo V40 2014","160","1",,"https://produto.mercadolivre.com.br/MLB-4409283021-moldura-tampa-traseira-volvo-v40-2014-_JM","2026-01-08T20:26:03.999Z","2026-02-12T15:42:28.555Z"
"MLB4369743081","closed","","Cabeçote Ford Ka 1.5 4cc 2018","2156","0",,"https://produto.mercadolivre.com.br/MLB-4369743081-cabecote-ford-ka-15-4cc-2018-_JM","2025-12-17T05:29:44.764Z","2026-02-12T15:42:11.607Z"
"MLB6035682902","closed","","Eixo Traseiro Fiat Fiorino 2000","881.02","1",,"https://produto.mercadolivre.com.br/MLB-6035682902-eixo-traseiro-fiat-fiorino-2000-_JM","2025-12-11T03:35:12.455Z","2026-02-12T15:43:03.234Z"
"MLB6036026574","closed","","Montante Manga Eixo Direito Palio 1996 A 2000","244.02","1",,"https://produto.mercadolivre.com.br/MLB-6036026574-montante-manga-eixo-direito-palio-1996-a-2000-_JM","2025-12-11T06:29:25.920Z","2026-01-08T19:36:33.643Z"
"MLB6031479602","closed","","Reservatório Água Parabrisa Volkswagen Polo 2004","98","1",,"https://produto.mercadolivre.com.br/MLB-6031479602-reservatorio-agua-parabrisa-volkswagen-polo-2004-_JM","2025-12-10T14:19:50.285Z","2026-02-12T15:43:03.106Z"
"MLB6065811136","closed","","Motor Arranque Partida Hyundai Hb20 I30 1.6 2011 A 2018","440.02","1",,"https://produto.mercadolivre.com.br/MLB-6065811136-motor-arranque-partida-hyundai-hb20-i30-16-2011-a-2018-_JM","2025-12-17T04:09:51.466Z","2026-01-09T01:38:07.799Z"
"MLB4368736115","closed","","Parachoque Traseiro Ford Ka Sedan 2016","350","1",,"https://produto.mercadolivre.com.br/MLB-4368736115-parachoque-traseiro-ford-ka-sedan-2016-_JM","2025-12-16T14:06:13.574Z","2026-01-08T23:54:14.517Z"
"MLB6066093176","closed","","Tbi Corpo Borboleta Volkswagen Gol G6 1.0 2014 A 2019","244.02","1",,"https://produto.mercadolivre.com.br/MLB-6066093176-tbi-corpo-borboleta-volkswagen-gol-g6-10-2014-a-2019-_JM","2025-12-17T06:07:53.462Z","2026-01-09T09:54:09.805Z"
"MLB6033309266","closed","","Cabeçote Volkswagen Fusca Kombi 1600","539","1",,"https://produto.mercadolivre.com.br/MLB-6033309266-cabecote-volkswagen-fusca-kombi-1600-_JM","2025-12-10T20:46:31.320Z","2026-02-12T15:43:03.104Z"
"MLB6018542214","closed","","Máquina Vidro Traseiro Esquerdo Fiat Palio 97","73.82","1",,"https://produto.mercadolivre.com.br/MLB-6018542214-maquina-vidro-traseiro-esquerdo-fiat-palio-97-_JM","2025-12-08T07:56:08.120Z","2026-02-12T15:42:52.947Z"
